channel_1,channel_2,channel_3,channel_4,beta_power,focus_score,focused_classification
-161.74740067112725,-156.71817020571325,-440.14648834767286,-444.2426137741422,0.0,0.0,0
-501.9212208407698,-227.73326051433105,-211.83027092774864,-191.5978796549607,0.0,0.0,0
-444.1668808000395,-446.74741176946554,-244.80870873702224,-483.4348953597946,0.0,0.0,0
-160.31595396308694,-160.96669655537698,-445.9797973035602,-438.3391816940857,0.0,0.0,0
-442.71673459222075,-440.0071770743234,-242.21321816777345,-478.48233284347225,59116.8994868621,0.129875,0
-244.32392420526594,-473.461984640453,-502.69491264410317,-222.91112700896338,56198.6158903431,0.227654640625,0
-163.38781428919174,-154.592504568398,-445.1331774510909,-432.2464171787724,58078.18384236418,0.29192512785156244,0
-444.733943130821,-438.8557553754654,-246.83152712555602,-480.34340055892244,58680.61398474915,0.4015545100111279,0
-204.46126555255614,-188.46618092956487,-163.41305861389264,-164.94080774579197,56992.35074067199,0.4750377071964344,0
-243.30480146734044,-478.80069182720035,-500.7613843670115,-227.44949560519308,57086.22160308064,0.5463112976293562,0
-494.181965369964,-223.30381650431082,-208.03941483516246,-190.03413398598786,59865.89892434994,0.6541651684402423,0
-447.32382385013625,-445.5866403207183,-243.9359095848631,-480.82584765320644,58810.962642826766,0.8054679072476363,0
-242.07250443194062,-483.05576300178654,-501.21671718661673,-228.19560564635321,57467.026681508534,0.9179317733700965,0
-496.0229311231524,-224.59408198902383,-202.95689079537988,-189.87144833791535,59564.924524429676,0.9653774668905095,0
-444.61613628221676,-442.60594005603343,-242.14543248107657,-482.09554368816316,58808.2096443876,0.9805248251259115,0
-202.83534404681996,-189.3497322940966,-164.15823368006386,-171.90730638825335,57750.47954718985,0.9890452141333252,0
-159.91625215532258,-164.49856457603164,-441.9767018884886,-436.90446257358417,58676.359797321944,0.9953784497124966,1
-496.4782639427576,-224.52302388986573,-206.27511703106575,-185.15449951880146,59498.906044429765,0.9974003779632793,1
-209.52789501752704,-186.71497277531307,-161.6347361849621,-158.03882237756625,57947.015359016375,0.9989032844532585,1
-244.53709850274026,-474.91961064818315,-496.8064401638694,-223.80776802334003,57921.53483324027,0.9993830975049579,1
-149.41928795468993,-165.4531740397215,-442.50215783226304,-436.1527426824905,58767.84341369876,0.9996529923465388,1
485.5783255218994,499.53189225657843,520.4047413967783,540.0424885766115,60150.84443810227,0.999890204609647,1
542.4042353986297,264.7503227882553,277.62305843573995,465.369776111329,59281.1823396554,0.9999176534572352,1
484.5171289094724,506.5554243733641,519.576353556593,546.4068633262068,59814.247024394266,0.9999917560475604,1
544.4013419749681,264.70263906382024,267.5720773048233,464.0888603765052,59099.39718844225,0.9999938170356704,1
483.3325155985076,502.4667787468061,521.4135794098256,543.4813265858684,60044.960669007516,0.9999965220825646,1
518.7115016918397,548.8368633224163,541.5300337839872,263.3160711552482,59808.918675040026,0.999998532753582,1
546.4115382011514,263.3693647296168,275.45672138640657,463.33807546040043,59591.274617049996,0.9999993810054174,1
483.098771851277,506.2707244892372,518.25570138474,551.4945297284285,60207.10192222783,0.9999996518155473,1
522.9567556290422,541.9559148914414,549.2384350801585,264.0757383337477,59853.94499872656,0.999999853109684,1
226.46449945436325,211.00188308756333,480.20362179807853,510.6557571872836,59827.745000703864,0.9999999173741972,1
542.0727867650567,262.9350688472623,271.93046321568545,465.6713055452565,59620.597141394304,0.999999953522986,1
269.81648476573173,466.328592962469,222.04393770673778,214.1452690003207,59113.1722866,0.9999999803925097,1
518.8073366282042,548.6447259621928,541.2322442500154,261.491467464366,59944.870991155054,0.9999999889707867,1
